transaction_id,account_id,customer_id,txn_timestamp,direction,amount,currency,channel,txn_type,counterparty_name,counterparty_account,counterparty_bank,counterparty_country,description,status
TXN_B0003137,ACC_000484,CUST_00332,2026-05-22 07:37:57.69658,CREDIT,708.54,INR,BRANCH,TRANSFER_IN,Tata Consultancy Services,CPACC51575710,HDFC Bank,IN,Routine activity,POSTED
TXN_B0008277,ACC_000097,CUST_00063,2026-05-22 07:45:57.69658,CREDIT,3360.81,INR,BRANCH,TRANSFER_IN,Croma Electronics,CPACC19970370,HDFC Bank,IN,Routine activity,POSTED
TXN_B0006597,ACC_000261,CUST_00174,2026-05-22 08:05:57.69658,CREDIT,11525.77,INR,BRANCH,TRANSFER_IN,Bigbasket,CPACC85860983,HDFC Bank,IN,Routine activity,POSTED
TXN_B0008443,ACC_000549,CUST_00374,2026-05-22 08:07:57.69658,CREDIT,18961.06,INR,RTGS,TRANSFER_IN,Indian Railways IRCTC,CPACC46404294,HDFC Bank,IN,Routine activity,POSTED
TXN_B0002509,ACC_000090,CUST_00058,2026-05-22 08:19:57.69658,CREDIT,284.72,INR,BRANCH,TRANSFER_IN,Bigbasket,CPACC33314629,HDFC Bank,IN,Routine activity,POSTED
TXN_B0006282,ACC_000087,CUST_00056,2026-05-22 09:17:57.69658,DEBIT,8265.44,INR,BRANCH,PURCHASE,Reliance Retail Ltd,CPACC53264649,HDFC Bank,IN,Routine activity,POSTED
TXN_B0003416,ACC_000734,CUST_00498,2026-05-22 09:41:57.69658,DEBIT,27294.37,INR,IMPS,PURCHASE,HDFC Life Insurance,CPACC07614866,HDFC Bank,IN,Routine activity,POSTED
TXN_B0000398,ACC_000035,CUST_00021,2026-05-22 09:47:57.69658,DEBIT,336.54,INR,RTGS,PURCHASE,Zomato Ltd,CPACC22606011,HDFC Bank,IN,Routine activity,POSTED
TXN_B0008948,ACC_000459,CUST_00316,2026-05-22 10:26:57.69658,CREDIT,618.78,INR,UPI,TRANSFER_IN,HDFC Life Insurance,CPACC19991397,HDFC Bank,IN,Routine activity,POSTED
TXN_B0003590,ACC_000023,CUST_00014,2026-05-22 10:50:57.69658,CREDIT,31367.10,INR,ATM,TRANSFER_IN,Tata Consultancy Services,CPACC49369968,HDFC Bank,IN,Routine activity,POSTED
TXN_B0000469,ACC_000246,CUST_00165,2026-05-22 11:02:57.69658,CREDIT,23588.88,INR,SWIFT,TRANSFER_IN,Indian Railways IRCTC,CPACC45421052,HDFC Bank,IN,Routine activity,POSTED
TXN_B0007914,ACC_000369,CUST_00251,2026-05-22 11:13:57.69658,DEBIT,1575.25,INR,RTGS,PURCHASE,Indian Railways IRCTC,CPACC32054977,HDFC Bank,IN,Routine activity,POSTED
TXN_B0003549,ACC_000323,CUST_00219,2026-05-22 11:35:57.69658,DEBIT,363.18,INR,UPI,PURCHASE,Indian Railways IRCTC,CPACC48576351,HDFC Bank,IN,Routine activity,POSTED
