account_id,customer_id,account_type,account_status,currency,open_date,close_date,branch_code,branch_city,current_balance,avg_monthly_balance_6m,credit_limit,credit_utilization_pct,overdraft_enabled,card_type,is_joint_account,num_linked_devices,mobile_banking_enrolled,last_login_date,avg_monthly_txn_count,account_tier,risk_rating
ACC_000001,CUST_00001,NRE,ACTIVE,INR,2022-03-02,,BR189,Hyderabad,472935.00,446575.68,0.00,0.00,f,GOLD,f,2,t,2026-08-30,9,GOLD,MEDIUM
ACC_000002,CUST_00001,SALARY,ACTIVE,INR,2022-03-02,,BR146,Hyderabad,175809.00,201161.62,0.00,0.00,f,CLASSIC,f,3,t,2026-09-17,11,GOLD,MEDIUM
ACC_000003,CUST_00002,CURRENT,ACTIVE,INR,2021-01-28,,BR123,Bengaluru,251814.00,237109.49,0.00,0.00,f,GOLD,f,3,t,2026-08-28,13,GOLD,MEDIUM
ACC_000004,CUST_00003,NRE,ACTIVE,INR,2019-08-13,,BR192,Hyderabad,12793.00,14356.13,0.00,0.00,t,CLASSIC,f,2,t,2026-09-12,16,SILVER,HIGH
ACC_000005,CUST_00003,NRE,ACTIVE,INR,2019-08-13,,BR112,Hyderabad,293281.00,301964.11,0.00,0.00,t,CLASSIC,f,3,t,2026-08-26,29,GOLD,HIGH
ACC_000006,CUST_00004,SAVINGS,ACTIVE,INR,2017-10-13,,BR165,Delhi,678504.00,784519.48,0.00,0.00,t,CLASSIC,f,1,t,2026-09-10,16,GOLD,LOW
ACC_000007,CUST_00004,SAVINGS,ACTIVE,INR,2017-10-13,,BR194,Delhi,634294.00,742876.97,0.00,0.00,f,CLASSIC,f,1,t,2026-09-03,24,SILVER,LOW
ACC_000008,CUST_00005,NRE,ACTIVE,INR,2017-04-16,,BR190,Gurugram,290466.00,238128.13,0.00,0.00,t,CLASSIC,f,2,t,2026-08-25,12,GOLD,MEDIUM
ACC_000009,CUST_00005,NRE,ACTIVE,INR,2017-04-16,,BR169,Gurugram,490466.00,472470.70,0.00,0.00,f,CLASSIC,f,1,t,2026-08-24,28,SILVER,MEDIUM
ACC_000010,CUST_00006,SAVINGS,ACTIVE,INR,2017-02-10,,BR137,Pune,850535.00,738217.34,0.00,0.00,t,CLASSIC,f,3,t,2026-09-08,10,GOLD,HIGH
ACC_000011,CUST_00006,SAVINGS,ACTIVE,INR,2017-02-10,,BR118,Pune,548117.00,478589.00,0.00,0.00,t,GOLD,f,2,t,2026-09-10,27,SILVER,HIGH
ACC_000012,CUST_00007,SALARY,ACTIVE,INR,2016-09-10,,BR177,Bengaluru,241116.00,217679.05,0.00,0.00,t,GOLD,f,2,t,2026-09-10,30,SILVER,MEDIUM
ACC_000013,CUST_00008,SAVINGS,ACTIVE,INR,2023-10-16,,BR152,Gurugram,856615.00,911915.69,0.00,0.00,t,GOLD,f,2,t,2026-09-07,27,GOLD,LOW
ACC_000014,CUST_00008,CURRENT,ACTIVE,INR,2023-10-16,,BR114,Gurugram,423708.00,365018.42,0.00,0.00,f,CLASSIC,f,1,t,2026-09-13,19,SILVER,LOW
ACC_000015,CUST_00009,NRE,ACTIVE,INR,2020-08-17,,BR179,Chennai,342072.00,383484.53,0.00,0.00,f,GOLD,f,3,t,2026-08-26,17,GOLD,LOW
ACC_000016,CUST_00009,CURRENT,ACTIVE,INR,2020-08-17,,BR134,Chennai,77971.00,72022.47,0.00,0.00,t,GOLD,f,3,t,2026-08-29,19,SILVER,LOW
ACC_000017,CUST_00010,SAVINGS,ACTIVE,INR,2019-04-06,,BR138,Gurugram,753228.00,725681.62,0.00,0.00,t,CLASSIC,f,3,t,2026-09-13,30,GOLD,LOW
ACC_000018,CUST_00010,SALARY,ACTIVE,INR,2019-04-06,,BR158,Gurugram,108747.00,97070.10,0.00,0.00,t,CLASSIC,f,2,t,2026-09-12,25,SILVER,LOW
